cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_mos,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_mos,webc_std_respEnd,webc_web_cnt
webclient,6000,220,20180330_225759_f9c0,6000,vagrant,300,3207,3565,2963.232293,2980.83146067,3107.7752809,3.786885903,2887.48069848,2974.0,3095.0,2880.325344,2930,3032,2844.689843,37.082427455,64.837697595,0.00651589998908,21.4390752623,89
webclient,3500,220,20180330_093358_edd3,3500,vagrant,300,3585,3730,3500.461022,3503.92105263,3621.5,3.64085565573,3408.90784437,3505.0,3625.0,3409.933229,3157,3262,3069.841976,47.4471348916,54.9412365504,0.0120628898971,44.9775906419,76
webclient,1250,240,20180329_172050_96b8,1250,vagrant,600,7600,7714,7477.44529,7502.96,7620.32,2.95556553659,7426.39340613,7501.0,7619.0,7429.957129,7477,7576,7409.171658,21.1713265212,24.1463095869,0.00134468789724,11.3591730912,75
webclient,1250,120,20180329_181141_a567,1250,vagrant,600,7350,7510,7132.818211,7255.62820513,7372.06410256,2.99461556193,7104.05481733,7249.5,7361.5,7104.137845,7206,7317,7067.667868,27.9876845509,38.0213636787,0.00156832968201,12.6582016886,78
webclient,8000,40,20180331_101801_892e,8000,vagrant,300,1690,1720,1726.03017,1511.02205882,1624.86029412,4.44746638016,1367.07866668,1510.5,1622.0,1327.378134,1462,1589,1310.054288,22.2513935161,21.1111110953,0.0658262074324,112.308108493,136
webclient,2250,20,20180330_013915_b53a,2250,vagrant,300,4208,4307,4352.171267,4143.18461538,4243.01538462,3.45807756248,4198.70160412,4142.0,4240.0,4299.369094,4117,4206,3941.534402,14.2644176,18.8308195072,0.0347493951739,163.525492303,65
webclient,2000,20,20180329_233705_7853,2000,vagrant,600,4993,5083,5142.866363,4610.10743802,4714.28099174,3.35739206108,4706.42854308,4606.0,4710.0,4767.260397,4551,4666,4406.172304,39.4662323816,40.3671626511,0.0283052341143,148.744219574,121
webclient,2000,220,20180329_234714_2383,2000,vagrant,600,5237,5364,5135.82557,4993.4954955,5111.18918919,3.32158606302,4899.86787662,4988.0,5097.0,4900.14633,4904,5007,4829.527838,71.4653414233,74.3482811513,0.0124943275414,70.2981702994,111
webclient,7000,180,20180331_041303_ac98,7000,vagrant,300,2552,2646,2378.258813,2154.29166667,2268.39166667,4.10012341645,2023.13786042,2144.0,2261.5,2014.278529,2069,2169,1944.418005,50.3409038181,52.3183039725,0.0192030974965,45.984608239,120
webclient,250,20,20180330_040348_a22c,250,vagrant,600,34665,34774,34844.539213,34598.875,34709.75,1.59970872344,34667.5323899,34597.0,34715.5,34782.9045875,34521,34621,34335.681427,47.4550774417,51.1547896096,0.00529012260877,207.924806722,16
webclient,3250,40,20180330_083713_a52f,3250,vagrant,300,3433,3480,3239.170264,3018.90909091,3129.03409091,3.79376144872,2866.58518826,3017.0,3128.5,2837.7229055,2958,3081,2805.208774,46.7905478906,42.6666382508,0.0294106984554,100.781400829,88
webclient,750,100,20180331_075359_07b0,750,vagrant,600,12267,12383,12099.315912,11743.1458333,11853.7708333,2.56401896791,11588.3371252,11733.0,11836.0,11578.0525125,11703,11804,11552.999956,77.8286016362,81.4084965834,0.00562717130327,75.638626357,48
webclient,7000,20,20180331_032124_c96c,7000,vagrant,300,1785,1923,1832.21516,1605.78832117,1712.24087591,4.27296467598,1670.36173473,1604.0,1712.0,1765.845491,1558,1670,1405.541973,21.985539593,26.0769567286,0.0896744151515,162.942064513,137
webclient,5000,140,20180330_165249_08e6,5000,vagrant,300,2479,2623,2306.892691,2404.18518519,2525.59259259,4.00499257959,2253.64987563,2403.5,2526.5,2255.0618095,2265,2392,2126.796279,28.3735492852,29.0682584417,0.00815244231853,20.6802154306,108
webclient,9000,200,20180331_142557_b1cd,9000,vagrant,300,2883,3083,2675.299258,2659.70707071,2775.25252525,3.89885359311,2542.50719287,2656.0,2765.0,2541.17626,2606,2707,2512.726049,30.9666658594,43.3674326055,0.00676421252279,19.7631876225,99
webclient,8250,0,20180331_105920_b214,8250,vagrant,300,1462,1596,2127.327618,1401.32278481,1503.82278481,4.32255647717,1571.57829928,1398.0,1503.5,1565.530075,1349,1466,1522.196593,18.7232573803,21.7963877472,0.0251449352783,50.396563805,158
webclient,4250,200,20180330_124459_a778,4250,vagrant,300,3647,3770,3469.778045,2995.66292135,3114.68539326,3.78889409881,2881.517191,2985.0,3105.0,2872.753282,2938,3048,2822.271805,74.8181231155,77.1695339992,0.0188542356657,66.9120488662,89
webclient,8250,220,20180331_111449_066f,8250,vagrant,300,2621,3033,2498.51191,2522.68269231,2646.77884615,3.93776076793,2432.5923824,2515.0,2643.5,2425.829035,2476,2576,2399.831515,29.7490350274,52.8135247704,0.00872664002421,24.215074981,104
webclient,7250,60,20180331_044912_2824,7250,vagrant,300,1704,1834,1514.045562,1630.7972028,1749.88111888,4.38289666553,1466.86649004,1629.0,1750.0,1464.806738,1577,1691,1434.501801,26.7224950262,26.5705261575,0.0093475975655,15.6227791272,143
