cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,6250,100,20180319_064302_88a6,6250,vagrant,300,119,1088,3020,2564.910214,955.890756303,2418.79831933,2410.56578018,957.0,2421.0,2417.301081,868,2287,2284.830693,20.857576225,64.9772526237,33.9885331363
webclient,6750,0,20180319_081554_70c8,6750,vagrant,300,141,702,2277,1895.635092,680.95035461,1882.5106383,1876.8914009,682.0,1880.0,1877.134137,665,1864,1860.855543,6.73545318902,33.7824951569,5.32846518885
webclient,6250,200,20180319_060657_0c73,6250,vagrant,300,100,1640,3753,3748.553663,1196.27,2875.48,2872.40395318,1185.0,2864.0,2861.217519,1173,2697,2693.346466,52.7362977464,120.89958478,120.827131022
webclient,3750,180,20180318_174041_3428,3750,vagrant,300,71,1624,4129,4125.02871,1595.92957746,4048.11267606,4044.33957518,1604.0,4057.0,4053.34859,1383,3766,3764.044607,35.740978944,49.9164229081,49.6146060627
webclient,8750,100,20180327_214254_44e5,8750,vagrant,300,140,982,2122,2119.130983,787.921428571,1856.77142857,1853.82501494,788.0,1854.5,1852.02508,708,1757,1753.912166,28.1183894726,54.2565786475,54.3186697866
webclient,5250,40,20180319_015927_883d,5250,vagrant,300,114,1434,3018,3015.132279,936.061403509,2520.96491228,2517.72191245,931.5,2516.0,2512.46506,918,2506,2502.535778,47.069989897,47.0505383053,47.0824879224
webclient,7000,40,20180319_094842_3a1b,7000,vagrant,300,146,761,1952,1949.360682,739.369863014,1933.6369863,1930.72130589,739.0,1932.0,1929.6272005,724,1925,1921.447397,7.03125478253,6.18867739537,5.88446871205
webclient,2250,20,20180318_075357_52d9,2250,vagrant,300,51,1939,6004,5589.545823,1920.43137255,5585.19607843,5572.88950627,1919.0,5578.0,5574.31077,1907,5558,5554.65132,7.54140180957,59.8344184536,8.38483697616
webclient,5750,20,20180319_035803_2c79,5750,vagrant,300,127,1450,2876,2873.349153,825.913385827,2257.42519685,2254.31980072,821.0,2252.0,2248.389664,808,2244,2239.733207,56.022777092,55.3533416876,55.3878861974
webclient,11500,120,20180404_003600_603e,11500,vagrant,300,134,875,1984,1730.612125,738.335820896,1596.37313433,1590.88901255,738.0,1594.5,1591.2776385,711,1538,1535.574476,19.5276092452,48.6740102954,35.4124498736
webclient,3500,200,20180318_153652_4583,3500,vagrant,300,66,1747,4411,4408.088069,1714.83333333,4342.04545455,4338.32051944,1711.0,4343.5,4339.6924625,1509,4098,4094.890271,31.2359463349,43.4920514571,43.4944151202
