cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webdlc_content_size,webdlc_file_cnt,webdlc_max,webdlc_mean,webdlc_mean_mos,webdlc_median,webdlc_min,webdlc_std,webdlc_std_mos
webdlclient,500,0,20180322_234917_142c,500,vagrant,900,10485760,4,175.924927711,175.899875998,1.0,175.898152828,175.878270626,0.0178297514227,0.0
webdlclient,4000,0,20180322_072403_2666,4000,vagrant,900,10485760,40,21.9428987503,21.9383890867,4.42176012382,21.9401421547,21.9339079857,0.00260302759498,0.000199341308637
webdlclient,4000,80,20180322_091015_3cb9,4000,vagrant,900,10485760,39,22.2313220501,22.1788428808,4.40344718375,22.1745028496,22.1736376286,0.0150522872681,0.00113895642633
webdlclient,2000,240,20180321_025039_8886,2000,vagrant,900,10485760,19,44.6672682762,44.6592951448,3.22757506464,44.6585588455,44.654541254,0.00287133999325,0.000108007721324
webdlclient,3000,140,20180321_204728_0975,3000,vagrant,900,10485760,29,29.6984307766,29.6913181173,3.91336413838,29.6903066635,29.6895298958,0.00274069176207,0.000155059545719
webdlclient,4000,40,20180322_083957_b62a,4000,vagrant,900,10485760,39,22.0315227509,22.0306563072,4.41470928108,22.030728817,22.0298278332,0.000385118001722,2.93680729696e-05
webdlclient,4000,120,20180322_094033_010d,4000,vagrant,900,10485760,39,22.3330595493,22.3319160877,4.39189166054,22.3320834637,22.3256084919,0.00110459966338,8.31072013188e-05
webdlclient,3750,20,20180322_043720_f38e,3750,vagrant,900,10485760,37,23.4483406544,23.443448376,4.31028701929,23.4412794113,23.4402279854,0.00313785614388,0.000224857012203
webdlclient,2500,220,20180321_090943_1a7e,2500,vagrant,900,10485760,23,36.4557659626,36.0382337052,3.58794152055,35.8966038227,35.8950471878,0.238553728112,0.011080636947
webdlclient,3750,200,20180322_042210_6c29,3750,vagrant,900,10485760,35,24.7311108112,24.4334781034,4.24086137332,24.2433009148,24.2293286324,0.214222563018,0.014718237344
webdlclient,4750,60,20180322_184611_c65a,4750,vagrant,900,10485760,47,18.6453845501,18.6440908807,4.69511085522,18.6440732479,18.6432492733,0.000354553528798,3.1948300048e-05
webdlclient,2500,180,20180321_112608_89d1,2500,vagrant,900,10485760,24,35.6834180355,35.68095541,3.60464330482,35.6820657253,35.6718997955,0.00322102082528,0.000151673320707
webdlclient,2500,200,20180321_083924_5f69,2500,vagrant,900,10485760,24,36.2746744156,35.8821896811,3.5952149184,35.7916691303,35.7869684696,0.175160385052,0.0081665114977
