cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,sshc_cmd_count,sshc_max,sshc_mean,sshc_median,sshc_min,sshc_std,sshc_uniq_cmds
sshclient,1750,160,20180409_201807_1343,1750,vagrant,80,10,0.8230862617,0.6341568232,0.6457113028,0.3690707684,0.1300837951,1
sshclient,2000,160,20180409_203739_b4fb,2000,vagrant,80,15,0.7688727379,0.5125199636,0.5061407089,0.3335375786,0.1365185282,1
sshclient,2250,160,20180409_205708_9351,2250,vagrant,80,21,0.9623334408,0.526408888,0.4754905701,0.3338646889,0.2001929499,1
sshclient,2500,160,20180409_211636_ccc2,2500,vagrant,80,29,0.8685216904,0.5518333501,0.6106450558,0.3337693214,0.1757691242,1
sshclient,2750,160,20180409_215729_9263,2750,vagrant,80,18,0.8681333065,0.4544624885,0.4009196758,0.3338429928,0.1443238664,1
sshclient,3000,160,20180409_221653_1345,3000,vagrant,80,25,0.7022979259,0.4253778267,0.373714447,0.3338487148,0.1094167309,1
sshclient,3250,160,20180409_223619_107e,3250,vagrant,80,19,0.5474836826,0.3969185101,0.3367643356,0.3337855339,0.0845902334,1
sshclient,3500,160,20180409_225549_95ab,3500,vagrant,80,25,0.6845796108,0.4156544876,0.3903880119,0.3339188099,0.0926050264,1
sshclient,3750,160,20180409_231519_2332,3750,vagrant,80,14,0.608745575,0.4020719528,0.3361669779,0.3339424133,0.0897880222,1
sshclient,4000,160,20180409_233444_6f6e,4000,vagrant,80,23,0.6028847694,0.383529943,0.3360188007,0.3337988853,0.0801359897,1
sshclient,4250,160,20180409_235407_6fee,4250,vagrant,80,22,0.7008304596,0.3961136124,0.3343002796,0.3338425159,0.1041589234,1
sshclient,4500,160,20180410_001334_b179,4500,vagrant,80,14,0.6586375237,0.3890296561,0.3432555199,0.333837986,0.0936270119,1
sshclient,4750,160,20180410_003259_a4e2,4750,vagrant,80,17,0.5369603634,0.3921628419,0.334482193,0.3337659836,0.0815454874,1
sshclient,5000,160,20180410_005222_ac33,5000,vagrant,80,21,0.5393915176,0.3845269226,0.335996151,0.3336112499,0.0757679339,1
sshclient,250,180,20180409_213922_1ff8,250,vagrant,80,13,5.0447933674,3.2667487034,3.6182508469,0.4928331375,1.2950945971,1
sshclient,500,180,20180410_011348_ba6d,500,vagrant,80,24,3.0434207916,1.9398727914,2.1370043755,0.7039065361,0.5812566484,1
sshclient,750,180,20180410_013332_8760,750,vagrant,80,14,2.096932888,1.2021910293,1.2461842299,0.3739705086,0.4910635826,1
sshclient,1000,180,20180409_192048_5b3b,1000,vagrant,80,19,1.7402126789,0.8792565998,0.9637084007,0.3741168976,0.3788475887,1
sshclient,1250,180,20180409_194029_6bb5,1250,vagrant,80,16,1.4727737904,0.9343363196,0.9138544798,0.6332399845,0.2319730095,1
sshclient,1500,180,20180409_200006_0d73,1500,vagrant,80,15,1.2902598381,0.7971634229,0.8130133152,0.3740546703,0.2404018698,1
sshclient,1750,180,20180409_201938_61b8,1750,vagrant,80,29,1.1973326206,0.7321108539,0.7335567474,0.3739376068,0.2444693133,1
sshclient,2000,180,20180409_203910_4cac,2000,vagrant,80,14,0.6896495819,0.5299628803,0.5740805864,0.3739643097,0.1173891465,1
sshclient,2250,180,20180409_205838_81ef,2250,vagrant,80,16,1.0295398235,0.6496521682,0.6373916864,0.373966217,0.1972111589,1
sshclient,2500,180,20180409_211806_30cb,2500,vagrant,80,25,0.9431405067,0.5309211922,0.5115983486,0.3738994598,0.1655945092,1
sshclient,2750,180,20180409_215858_6f97,2750,vagrant,80,13,0.5971269608,0.4359861337,0.3893654346,0.3739976883,0.0800158816,1
sshclient,3000,180,20180409_221823_c76e,3000,vagrant,80,25,0.6922607422,0.4795107937,0.4154284,0.3740186691,0.1112436132,1
sshclient,3250,180,20180409_223749_2ef9,3250,vagrant,80,19,0.6376435757,0.4421911114,0.3967709541,0.3737981319,0.0851062092,1
sshclient,3500,180,20180409_225718_f954,3500,vagrant,80,13,0.7246465683,0.424003436,0.3742291927,0.373963356,0.1050780611,1
sshclient,3750,180,20180409_231649_9032,3750,vagrant,80,16,0.6320414543,0.4163938761,0.3750957251,0.3738491535,0.0795759917,1
